Performing system checks...

System check identified no issues (0 silenced).
March 29, 2015 - 12:52:12
Django version 1.7.6, using settings 'face.settings'
Starting development server at http://0.0.0.0:1338/
Quit the server with CONTROL-C.
[13/Apr/2015 15:01:51] "GET / HTTP/1.1" 200 1847
[13/Apr/2015 15:01:51] "GET /static/jquery.min.js HTTP/1.1" 304 0
[13/Apr/2015 15:01:51] "GET /static/css/elab.css HTTP/1.1" 304 0
[13/Apr/2015 15:01:51] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[13/Apr/2015 15:01:51] "GET /static/css/images/bg.gif HTTP/1.1" 304 0
[13/Apr/2015 15:01:51] "GET /static/css/images/network_s.png HTTP/1.1" 304 0
[13/Apr/2015 15:01:51] "GET /static/css/images/bg_b_nav.gif HTTP/1.1" 304 0
[13/Apr/2015 15:02:04] "GET / HTTP/1.1" 200 1847
[13/Apr/2015 15:02:05] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[13/Apr/2015 15:02:08] "GET /static/css/images/bg_nav.gif HTTP/1.1" 304 0
[13/Apr/2015 15:02:13] "GET /experiance HTTP/1.1" 200 2931
[13/Apr/2015 15:02:13] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[13/Apr/2015 15:02:14] "GET / HTTP/1.1" 200 1847
[13/Apr/2015 15:02:14] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[13/Apr/2015 15:02:15] "GET /a_propos HTTP/1.1" 200 1419
[13/Apr/2015 15:02:15] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[13/Apr/2015 15:02:16] "GET /step HTTP/1.1" 200 2064
[13/Apr/2015 15:02:16] "GET /media/etape/step2.png HTTP/1.1" 304 0
[13/Apr/2015 15:02:16] "GET /media/etape/step1.png HTTP/1.1" 304 0
[13/Apr/2015 15:02:16] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[13/Apr/2015 15:02:16] "GET /step HTTP/1.1" 200 2064
[13/Apr/2015 15:02:16] "GET /media/etape/step1.png HTTP/1.1" 200 12593
[13/Apr/2015 15:02:16] "GET /media/etape/step2.png HTTP/1.1" 200 39152
[13/Apr/2015 15:02:17] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[13/Apr/2015 15:02:20] "GET /experiance HTTP/1.1" 200 2931
[13/Apr/2015 15:02:21] "GET /media/unknown.png HTTP/1.1" 304 0
[13/Apr/2015 15:02:21] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[13/Apr/2015 15:02:22] "GET /a_propos HTTP/1.1" 200 1419
[13/Apr/2015 15:02:22] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[13/Apr/2015 15:02:24] "GET /experiance HTTP/1.1" 200 2931
[13/Apr/2015 15:02:24] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[13/Apr/2015 15:02:28] "GET /step HTTP/1.1" 200 2064
